YEAR, CDSD, CLDD, DP01, DP10, DP1X, DT00, DT32, DX32, DX70, DX90, EMNT, EMXP, EMXT, FZF0, FZF1, FZF2, FZF3, FZF4, FZF5, FZF6, FZF7, FZF8, FZF9, HDSD, HTDD
2001, 497.5, 497.5, 108, 67, 6, 18, 138, 65, 126, 26, -25, 55.4, 36.7, 0, -2.8, -4.4, -7.2, -8.9, -1.7, -5, -5, -10.6, -10.6, 4345, 4345
2002, 538.4, 538.4, 109, 63, 12, 5, 163, 58, 131, 20, -20.6, 61.7, 35.6, -0.6, -5.6, -5.6, -6.7, -10, -0.6, -2.8, -5.6, -10, -10, 3737.4, 3737.4
