bytes,time
<class 'bytes'>,0.5724911689758301
<class 'bytes'>,0.5441470146179199
<class 'bytes'>,0.4707648754119873
<class 'bytes'>,0.48688459396362305
<class 'bytes'>,0.48268604278564453
<class 'bytes'>,0.47861671447753906
<class 'bytes'>,0.5020155906677246
<class 'bytes'>,0.5269970893859863
<class 'bytes'>,0.4962019920349121
<class 'bytes'>,0.569514274597168
<class 'bytes'>,0.5056314468383789
<class 'bytes'>,0.46940064430236816
<class 'bytes'>,0.5246872901916504
<class 'bytes'>,0.5024774074554443
<class 'bytes'>,0.5129427909851074
<class 'bytes'>,0.559657096862793
<class 'bytes'>,0.5535974502563477
<class 'bytes'>,0.4541184902191162
<class 'bytes'>,0.4719657897949219
<class 'bytes'>,0.5171189308166504
<class 'bytes'>,0.518773078918457
<class 'bytes'>,0.5764029026031494
<class 'bytes'>,0.536771297454834
<class 'bytes'>,0.5086154937744141
<class 'bytes'>,0.5244770050048828
<class 'bytes'>,0.4415249824523926
<class 'bytes'>,0.4696967601776123
<class 'bytes'>,0.4626033306121826
<class 'bytes'>,0.496626615524292
<class 'bytes'>,0.4876883029937744
<class 'bytes'>,0.5218262672424316
<class 'bytes'>,0.5313940048217773
<class 'bytes'>,0.5269110202789307
<class 'bytes'>,0.6283700466156006
<class 'bytes'>,0.4929633140563965
<class 'bytes'>,0.6264004707336426
