bytes,time
20175,0.39086437225341797
18458,0.3607325553894043
19518,0.3699016571044922
18575,0.3864140510559082
19014,0.38416171073913574
22459,0.3941824436187744
4312,0.3826019763946533
3797,0.37721800804138184
4304,0.3610994815826416
4728,0.37594151496887207
22483,0.3641071319580078
19330,0.3703334331512451
18142,0.37349677085876465
17304,0.3715698719024658
16166,0.38095545768737793
21663,0.362682580947876
21404,0.3707103729248047
8898,0.3752603530883789
18172,0.361830472946167
3819,0.3673703670501709
22156,0.36219024658203125
22030,0.401198148727417
20071,0.37490177154541016
18649,0.37171196937561035
15942,0.3759331703186035
18879,0.3670690059661865
19073,0.37608933448791504
9046,0.37223172187805176
14704,0.36286306381225586
5432,0.37485504150390625
22613,0.3860814571380615
24134,0.38489198684692383
20691,0.3893086910247803
20445,0.38657188415527344
19414,0.3631424903869629
21302,0.3749415874481201
22323,0.37854695320129395
11332,0.3823063373565674
6271,0.36508679389953613
3943,0.38609981536865234
10656,0.36699390411376953
24823,0.3797645568847656
22740,0.3901326656341553
21480,0.38430190086364746
22397,0.39415884017944336
19563,0.3880918025970459
21460,0.371490478515625
17896,0.3736588954925537
8011,0.4256904125213623
4814,0.3879518508911133
3704,0.35736560821533203
8149,0.3810739517211914
23530,0.38132500648498535
23954,0.3926689624786377
22750,0.374004602432251
21371,0.38329029083251953
17839,0.37823009490966797
5565,0.3824889659881592
7787,0.3883326053619385
5401,0.37482523918151855
19868,0.3690199851989746
12351,0.3704032897949219
4419,0.3810610771179199
11981,0.3843674659729004
18718,0.39806437492370605
20658,0.3942301273345947
8424,0.3879704475402832
7085,0.36473655700683594
5275,0.37338733673095703
14780,0.37998461723327637
12421,0.384723424911499
22840,0.3859562873840332
6038,0.3804502487182617
14669,0.3685441017150879
11408,0.3865389823913574
5811,0.38253235816955566
17339,0.37457704544067383
17326,0.3899810314178467
4789,0.45508718490600586
9773,0.39057159423828125
4300,0.3583958148956299
20869,0.37727880477905273
21942,1.585151195526123
3789,0.38328075408935547
6748,0.3721165657043457
8248,0.3797187805175781
13605,0.37796783447265625
7515,0.37750959396362305
8819,0.3765435218811035
13255,0.37065935134887695
4255,0.362454891204834
12236,0.3855171203613281
11660,0.38355302810668945
16576,0.3690040111541748
3865,0.36567068099975586
6511,0.38710570335388184
11786,0.41066908836364746
11295,0.3699607849121094
11907,0.37030935287475586
4616,0.38506221771240234
